amenity	cuisine	takeaway	name	brand
fast_food	asian	yes	Miam Miam Gourmet	
fast_food	asian	yes	Mian Fan - Les petites cocottes	
fast_food	asian	yes	My Little Warung	
fast_food	asian	yes	My Wok	
fast_food	asian	yes	New Delices Wok	
fast_food	asian	yes	Ô-bao	
fast_food	asian	yes	Okini	
fast_food	asian	yes	Pick Bento	
fast_food	asian	yes	Planet Sushi	
fast_food	asian	yes	Po-Nouilles	
fast_food	asian	yes	Ravioli Gourmet	
fast_food	asian	yes	Red's Traiteur	Red's Asian Fusion Food
fast_food	asian	yes	Royal de Crécy	
fast_food	asian	yes	Sakuraame	
fast_food	asian	yes	Snack World	
fast_food	asian	yes	Wasabi Sushi	
fast_food	asian	yes	Wok d'Asie	
fast_food	asian	yes	Wok to Walk	Wok to Walk
fast_food	asian	yes	Wok to Walk	Wok to Walk
fast_food	asian	yes	Wok to Walk	Wok to Walk
fast_food	asian	yes	Wok to Walk	Wok to Walk
fast_food	asian	yes	Wok to Walk	Wok to Walk
fast_food	asian	yes	Yukita	
fast_food	asian	yes	Yumi bao	
fast_food	asian	yes	Zen Délices	
fast_food	asian		Yi Yi traiteur	
fast_food	asian		YongFa	
fast_food	asian		Yumie-yumie	
fast_food	asian		Yummy	
fast_food	asian		Zhang's Gourmets	
fast_food	asian		Zhen Bao Fang	
fast_food	automates		Snack Express	
fast_food	bagel		Bagel café	
fast_food	bagel		Bagel Club	
fast_food	bagel		Bagel & Goodies	
fast_food	bagel		Bagelstein	
fast_food	bagel		Bagelstein	
fast_food	bagel		Bagelstein	
fast_food	bagel		Bagelstein	
fast_food	bagel		Bagelstein	
fast_food	bagel		Bagelstein	
fast_food	bagel		Bagelstein	
fast_food	bagel		Bagelstein	
fast_food	bagel		Bagelstein	
fast_food	bagel		Bagelstein • Bagels & Coffee shop	
fast_food	bagel		Bagelstein	Bagelstein
fast_food	bagel		Bagelstein	Bagelstein
fast_food	bagel		Bagelstein	Bagelstein
fast_food	bagel		Bagelstein	Bagelstein
fast_food	bagel		Bagelstein	Bagelstein
fast_food	bagel		Bagelstein	Bagelstein
fast_food	bagel		Bagelstein	Bagelstein
fast_food	bagel		Bagelstein	Bagelstein
fast_food	bagel		Bagelstein	Bagelstein
fast_food	bagel		B-Chef	
fast_food	bagel		Bchef Rennes Beaulieu/Longchamps Burger	
fast_food	bagel		Begelstein	
fast_food	bagel		Bob's Bagel Shop	
fast_food	bagel		Bricks and Bagels	
fast_food	bagel;burger		Jacob Meatpacker	
fast_food	bagel;burger;sandwich		Old and New	
fast_food	bagel;burger;sandwich	yes	BCHEF	Bchef
fast_food	bagel;burger;sandwich	yes	JetLag	
fast_food	bagel;burrito;cookie;muffin;waffle	only	Will Be	
fast_food	bagel;cafe		Capulus Bagels & Coffee Shop	
fast_food	bagel;cake;coffee_shop;tea	yes	Sweet Flamingo	
fast_food	bagel;cake;sandwich		La Mie Câline	
fast_food	bagel		Chez Rafou	
fast_food	bagel		Cody's	
fast_food	bagel		Coffee and Cookies	
fast_food	bagel;coffee_shop;crepe;american;french;diner;fish_and_chips;cake;italian_pizza;breakfast;sandwich;tea;bread		Pørtland by Nicolas Adam	
fast_food	bagel;coffee_shop	yes	Bagelstein	
fast_food	bagel;crepe;friture;pancake;sandwich;ice_cream		Buvette Tin Tin	
fast_food	bagel;crepe	only	Django	
fast_food	bagel		Days	
fast_food	bagel		Delices Park	
fast_food	bagel;donut		Yummy	
fast_food	bagel		Dr. Auguste	
fast_food	bagel		Emilie & The Cool Kids	
fast_food	bagel		Fidèle	
fast_food	bagel;french	only	La Maison Du Bretzel	
fast_food	bagel		Green Bagel Café	
fast_food	bagel		Green Bagel Café	
fast_food	bagel		Green Bagel Café	
fast_food	bagel;hotdog		Nina's bagel & salad	
fast_food	bagel;hotdog		Noo-York	
fast_food	bagel		La Bagelerie	
fast_food	bagel		Nina's	
fast_food	bagel		Okolo	
fast_food	bagel	only	Le Bagel Plus	
fast_food	bagel		Popyz	
fast_food	bagel;salad		Foodélice	
fast_food	bagel;sandwich		Acro'Quai	
fast_food	bagel;sandwich		Entre Midi et 2	
fast_food	bagel;sandwich	yes	Bagels & Brownies	
fast_food	bagel		Spillicks	
fast_food	bagel		Sunny's Bagels	
fast_food	bagel	yes	Ari's Bagel	
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagel Corner	Bagel Corner
fast_food	bagel	yes	Bagelstein	
fast_food	bagel	yes	Bagelstein	
fast_food	bagel	yes	Bagelstein	
fast_food	bagel	yes	Bagelstein	Bagelstein
fast_food	bagel	yes	Bagelstein	Bagelstein
fast_food	bagel	yes	Bagelstein	Bagelstein
