amenity	cuisine	takeaway	name	brand
fast_food	burger		JOSANA	
fast_food	burger		Juancho's BBQ	
fast_food	burger		Juancho's BBQ	
fast_food	burger		Jurassic Pan	
fast_food	burger		Kanival Burguer	
fast_food	burger		Karbon and Son	
fast_food	burger;kebab;mexican	yes	Restaurante Superbestia	
fast_food	burger;kebab		Mola Miss Pitas	
fast_food	burger;kebab;pizza		Kebab Moon	
fast_food	burger;kebab;pizza		Mr Döner Kebab	
fast_food	burger;kebab;pizza	only	Tacos Don kebab	
fast_food	burger;kebab;pizza;turkish	yes	Marruzella	
fast_food	burger;kebab;pizza	yes	Badalona Grill	
fast_food	burger;kebab;pizza	yes	Bon Gust Sils	
fast_food	burger;kebab;sandwich		Maxsmile	
fast_food	burger;kebab	yes	Restaurant L'estel	
fast_food	burger;kebab	yes	Snak Picnic	
fast_food	burger		Kelai Smash Burger	
fast_food	burger		Kinos Smokehouse & BBQ	
fast_food	burger		Kiwi Burguer Bar	
fast_food	burger		Kso Burger	
fast_food	burger		KSO Burger	
fast_food	burger		Kurtz & Gut	
fast_food	burger		La Avenida	
fast_food	burger		La boca te lia	
fast_food	burger		la Brasa	
fast_food	burger		La Burguería	
fast_food	burger		La Burguesa	
fast_food	burger		La Burguesa Garden	
fast_food	burger		La Burguessía	
fast_food	burger		La Calle Burger	
fast_food	burger		La Diferencia	
fast_food	burger		La Esquina de Aluche	
fast_food	burger		La Flaca	
fast_food	burger		La Flor	
fast_food	burger		La foodienta	
fast_food	burger		La Informal	
fast_food	burger		La Kaña	
fast_food	burger		La Lluna	
fast_food	burger		la marca	
fast_food	burger		Lamburguesa	
fast_food	burger		La Merla	
fast_food	burger		Lanave Burguer	
fast_food	burger		La Negrita	
fast_food	burger		La Oficina	
fast_food	burger		La Parrilla del Labrador	
fast_food	burger		La Parrilla del Mercado	
fast_food	burger		La Pepita	
fast_food	burger		La Pepita	
fast_food	burger		La Pepita Burger Bar	
fast_food	burger		La Pepita Burger Bar	
fast_food	burger		La Pepita Burger Bar	La Pepita Burger Bar
fast_food	burger		La Piedra	
fast_food	burger		La Prensa	
fast_food	burger		La Resistencia Smash Burger	
fast_food	burger		La Salada Burger	
fast_food	burger		Las Bailaoras	
fast_food	burger		Lasertag Aliados	
fast_food	burger		La Smash	
fast_food	burger		Las Palmeras	
fast_food	burger		Las Vegas	
fast_food	burger		La Tapita Castellana	
fast_food	burger		Látigo	
fast_food	burger		La Tita Fina	
fast_food	burger		La Trasta	
fast_food	burger		La Tremenda	
fast_food	burger		La Tremenda	
fast_food	burger		La Tropa	
fast_food	burger		La Tropa	
fast_food	burger		La Urbana	
fast_food	burger		Lazy Lucy	
fast_food	burger		Lola Burguer	
fast_food	burger		Loma's	
fast_food	burger		London Burger	
fast_food	burger		London Café	
fast_food	burger		Los Robles	
fast_food	burger		Lucios Burguer Shop	
fast_food	burger		Mac2Pic2	
fast_food	burger		Machaka	
fast_food	burger		Macrobocatería Arta T	
fast_food	burger		Mafalda	
fast_food	burger		Magic Burguer	
fast_food	burger		Mama	
fast_food	burger		Mambo Smash Burger	
fast_food	burger		Mambru Hamburgueseria	
fast_food	burger		Manu's Burguer	
fast_food	burger		Manzo	
fast_food	burger		Maruchi	
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		McDonald's	McDonald's
fast_food	burger		Meat	
fast_food	burger		Me Gusta	
fast_food	burger		Memories Eder	
fast_food	burger		Menos smash	
fast_food	burger		Mian Burguer	
fast_food	burger		Mike's	
fast_food	burger		Milwauki	
fast_food	burger		Montepinar Burger	
fast_food	burger		Mostacho	
fast_food	burger		Mostaza Green	
fast_food	burger		Mostaza Green	
fast_food	burger		Mr. Dope	
fast_food	burger		Mucho gusto	
fast_food	burger		Muerde	
fast_food	burger		Mundo Diner	
fast_food	burger		Muu Rico	
fast_food	burger		My Burg	
fast_food	burger		My Chef	
fast_food	burger		my true burger and vegan	
fast_food	burger		N-550	
fast_food	burger		N87 Street Food	
fast_food	burger		nache‘s	
fast_food	burger		Ñam-Ñam	
fast_food	burger		Napoli	
fast_food	burger		Nellos'S Freshly Grilled	
fast_food	burger		New York Burger	
fast_food	burger		Nieto's Burger	
fast_food	burger		Ñisco	
fast_food	burger		Nómada	
fast_food	burger		Nomadas FT	
fast_food	burger		No Piqui	
fast_food	burger		Nueva Colina	
fast_food	burger		Nugu burger	
fast_food	burger		Nugu burguer	
